
INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (0, 0, 1, -17, -3);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (1, 1, 4, 1, 5);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (2, 2, 1, 19, -2);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (3, 3, 3, 2, 36);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (4, 4, 3, 5, 41);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (5, 5, 4, 0, 8);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (6, 6, 1, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (7, 7, 1, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (8, 8, 3, 29, 4);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (9, 6, 4, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (10, 7, 4, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (11, 9, 3, -3, -11);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (12, 10, 1, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (13, 11, 4, 4, 13);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (14, 1, 3, 3, 8);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (15, 12, 1, 16, 3);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (16, 13, 4, 0, -13);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (17, 14, 3, 22, 6);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (18, 12, 3, 1, 6);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (19, 12, 4, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (20, 15, 1, 4, -3);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (21, 5, 1, 1, 8);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (22, 16, 1, -8, -6);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (23, 17, 3, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (24, 18, 4, 0, 10);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (25, 19, 4, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (26, 20, 1, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (27, 21, 1, -1, 24);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (28, 22, 4, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (29, 23, 1, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (30, 24, 1, -18, -6);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (31, 23, 4, 5, -2);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (32, 24, 4, 11, -6);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (33, 25, 4, -1, 14);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (34, 23, 3, 1, -3);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (35, 24, 3, 7, -6);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (36, 25, 3, -5, 48);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (37, 19, 3, 1, -2);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (38, 26, 1, 0, 19);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (39, 27, 4, 4, -3);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (40, 26, 3, 5, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (41, 19, 1, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (42, 18, 1, 4, -5);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (43, 28, 1, 4, 6);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (44, 28, 3, 3, -14);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (45, 29, 3, 14, 12);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (46, 17, 1, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (47, 30, 4, 3, 13);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (48, 31, 4, 1, 9);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (49, 32, 4, -5, 3);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (50, 30, 3, -1, -6);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (51, 33, 3, 34, -3);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (52, 33, 1, 2, -10);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (53, 33, 4, 4, -21);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (54, 34, 1, -8, 3);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (55, 34, 3, 3, -14);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (56, 35, 4, 2, 4);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (57, 36, 1, 0, 0);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (58, 37, 3, -1, 16);

INSERT INTO `itembackground` (`id`,`idBg`, `layer`, `x`, `y`) VALUES (59, 38, 1, -5, 14);

